id;created_date;last_modified_date;created_by;last_modified_by;text;published;author_id
1;2020-12-20T19:31:59;2020-12-20T09:29:14;evolve Licensed Cotton Shoes maroon;throughput lavender Kuwait;Cambridgeshire;false;1
2;2020-12-20T03:48:26;2020-12-20T16:07:51;Borders Cocos (Keeling) Islands visualize;e-business microchip fuchsia;Checking Account;true;1
3;2020-12-20T17:30:13;2020-12-20T01:17:56;Tunisia invoice;Egypt Money Market Account Gorgeous Wooden Pants;Legacy RSS HTTP;true;2
4;2020-12-19T22:58:07;2020-12-19T23:31:03;static Borders Rustic;Taka;enhance;false;2
5;2020-12-20T05:31:15;2020-12-20T06:18:45;user-centric;online;optical Virginia XSS;false;2
6;2020-12-20T12:54:18;2020-12-20T15:19:31;grow Credit Card Account Planner;white deposit Rustic Frozen Mouse;Operations alarm matrix;false;2
7;2020-12-20T02:39:35;2020-12-20T05:34:45;compress Sleek;Representative yellow;Berkshire;true;1
8;2020-12-19T22:44:59;2020-12-19T23:34:06;Music yellow responsive;Berkshire back up foreground;Handcrafted Fresh Bike navigate bandwidth;true;1
9;2020-12-20T11:55:48;2020-12-20T07:04:54;Som;Cambridgeshire;Clothing RSS Metal;false;2
10;2020-12-20T09:19:10;2020-12-20T10:40:02;indexing visionary Programmable;human-resource interfaces;Handmade Liaison;false;1
